"UniProt","name","direction","importance"
"P53365","ARFP2","down",0.125119429506007
"Q96PD5","PGRP-L","up",0.125096200742869
"P22004.1",NA,"up",0.124955085502102
"P24666","PPAC","up",0.124923274996615
"Q4G0W2","DUS28","down",0.124906466061866
"Q96E11","RRFM","up",0.124864791774004
"P07738","PMGE","up",0.12483972652198
"Q8N474","SARP-2","down",0.12480409466256
"P19387","RPB3","down",0.12480409466256
"Q9ULS5","TMCC3:region 2","down",0.124454660683994
"P0C862.1",NA,"down",0.124454660683994
"Q14145.1",NA,"up",0.124152564293793
"P01024.3",NA,"down",0.124144645186248
"Q96AH8","RAB7B","up",0.1239628389285
"P18509.1",NA,"up",0.1239628389285
"P19961.1",NA,"up",0.12384570471777
"Q9H2X0","CHRD","down",0.123738063571397
"A2RUU4","COLL1","up",0.123595094235561
"P35222","b-Catenin","up",0.1233488643087
"Q9Y6F8","CDY1","up",0.123346459401781
"P12110","CO6A2","down",0.123310884978308
"P02533","K1C14","down",0.123310884978308
"Q9NP60","IL-1 sR9","down",0.123310884978308
"Q96NA8","TSNA1","down",0.123310884978308
"O95255","MRP6","down",0.123310884978308
"Q96A32","MLRS","up",0.123310884978308
"B2RUY7","VWC2L","up",0.123310884978308
"Q7Z4P5","GDF7","up",0.123310884978308
"Q6P587","FAHD1","up",0.123310884978308
"O43278","HAI-1","up",0.123310884978308
"P05106.P08514.2",NA,"up",0.123310884978308
"Q9UBB9","TFP11","up",0.123310884978308
"O60885","BRD4","up",0.123225404912807
"Q93084","AT2A3","up",0.1231791872906
"P50135","HNMT","down",0.122987659385954
"P28908","CD30","down",0.122952898329973
"P35080","Profilin II","up",0.122873736344065
"Q30KP8","DB136","down",0.122873736344065
"P63208","SKP1","up",0.122866114099295
"O60260","PRKN2","up",0.122514627291098
"P50238","CRIP1","down",0.122482564655518
"Q9UMY4","SNX12","down",0.122470083723106
"P58335","ANTR2","down",0.122360127468052
"P15516","HIS3","up",0.122354861717903
"Q8NFQ8","TOIP2","up",0.122175164210863
"O60674","JAK2","down",0.122090445987979
"O95881","TXD12","down",0.122090445987979
"P37802.1",NA,"down",0.122090445987979
"Q8TC57","M1AP","up",0.121929589506142
"O60258","FGF-17","up",0.121669323662795
"O60760","PTGD2","down",0.121408825902663
"Q30KQ7","DB113","up",0.121402838316205
"Q9UNQ2","DIM1","down",0.121394366855396
"Q9Y3D2","MSRB2","down",0.121394366855396
"O00744","WN10B","down",0.121394366855396
"O60542","Persephin","down",0.121394366855396
"Q8WUY8","NAT14","up",0.121333405622852
"Q9NWT6","HIF1N","up",0.121289971438386
"Q96SM3","CPXM1","up",0.121236647317325
"P00742.1",NA,"up",0.121229095536627
"Q9BZW8","CD244","up",0.12103495141683
"P08670","Vimentin","down",0.120832159749166
"Q53EL6","PDCD4","up",0.120525922851476
"Q6UXE8","BTNL3","up",0.120453521995725
"O43251","RBM9","up",0.120424055130052
"P09874.1",NA,"down",0.120356360731228
"Q9BPX1","DHB14","up",0.120158879455752
"P49888","SULT 1E","down",0.120158879455752
"P24821.1",NA,"down",0.120158879455752
"Q6UXH0","TD26","down",0.120158879455752
"Q1W4C9","ISK13","up",0.120158879455752
"Q08345.1",NA,"up",0.119909590487614
"O14807","RASM","down",0.119896691368723
"Q14194","DRP-1","up",0.119868195181233
"Q8TBM8","DJB14:LD","down",0.119857345312224
"Q8NEQ5","CA162","down",0.11980922185134
"P05014.1",NA,"down",0.119717455793533
"Q9ULS5.1",NA,"down",0.119606245949499
"Q13907","IDI1","down",0.119507024048192
"P78356.1",NA,"down",0.119507024048192
"Q92796","DLG3","up",0.119405349743702
"P0DMV8","HSP 70","down",0.119398831555293
"Q13253.1",NA,"up",0.119067488236225
"Q96A98","TIP39","up",0.118965063233015
"Q9NPG4","PCD12","up",0.118827931928585
"P0DMV8.5",NA,"down",0.118646450240094
"Q14DG7","T132B","up",0.118646450240094
"P18065.1",NA,"down",0.118517006209649
"Q9BXJ3.1",NA,"up",0.11848713318833
"Q6Q8B3","MO2R2","down",0.11848713318833
"Q8NHR9","PROF4","up",0.118240251584522
"P55010","eIF-5","down",0.118136776021891
"Q7Z5R6","AB1IP","down",0.118097225862358
"P19827","ITI heavy chain H1","up",0.117975015566426
"Q9UL18","AGO1","down",0.117975015566426
"O14960","LECT2","up",0.117975015566426
"P35443","TSP4","down",0.117975015566426
"P55083","MFAP4","down",0.117975015566426
"P10584.2",NA,"up",0.117975015566426
"Q15818","NPTX1","up",0.11765639700837
"P50591","TRAIL","up",0.117513307027124
"Q96LZ3","CANB2","down",0.117512414100207
"P21757.2",NA,"down",0.117398232224635
"P01178","NEU1","up",0.117398232224635
"P14635.P06493",NA,"up",0.117379551163088
"P05413.1",NA,"down",0.117249383753733
"Q8NHS0","DNJB8","down",0.117245673496315
"P13942","COL11A2","up",0.117069655759271
"P01270","Parathyroid Hormone1-34","up",0.117069655759271
"Q8WUK0","PTPM1","up",0.117069655759271
"Q9Y2Y1","RPC10","up",0.117069655759271
"O15066","KIF3B","up",0.117069655759271
"Q02246","CNTN2","down",0.117069655759271
"Q8TCY5","MRAP","down",0.117069655759271
"P02794","FRIH","down",0.117051251274674
"Q9HCU0","CD248","down",0.116911517380995
"Q9NRH1","YAED1","down",0.116778823604494
"P98179","RBM3","down",0.116667013252122
"P48304.2",NA,"up",0.116558837038754
"Q99LC4.53",NA,"up",0.116449153215081
"Q86UE6.1",NA,"up",0.11644368086127
"P02774","Gc-Globulin, Mixed Type","down",0.116268773338158
"Q5T2D2","TRML2","up",0.116268773338158
"P08833","IGFBP-1","down",0.116047839618437
"P54764.1",NA,"up",0.115847947819082
"P04141","GM-CSF","down",0.115379194639671
"Q99LC4.82",NA,"down",0.115204881964241
"P15085.1",NA,"up",0.115187780516847
"Q9HCK4.1",NA,"up",0.115035436920095
"Q96Q45","TM237","up",0.114925805347398
"Q8WY21","SORC1","down",0.114881405240275
"P01602","Ig K chain V-I region HK102-like","down",0.114807643244639
"Q8WVN8","UB2Q2","up",0.114773262064952
"Q7Z628","ARHG8","up",0.114679891365724
"Q9NZI2","KCIP1","down",0.114668188706184
"Q16619","Cardiotrophin-1","up",0.114634387556804
"Q15848","Adiponectin","down",0.114634387556804
"Q13478","IL-18 Ra","down",0.114521085384384
"Q8N8Z6","DCBD1","down",0.114369087879685
"Q01844","EWS","down",0.1143279975138
"P43652","Afamin","up",0.114214004601604
"P08476.2",NA,"up",0.114198880956214
"Q8N1E2","LYG1","up",0.114153671743811
"Q9BQI0","AIF1L","up",0.114104760448152
"P13671.P01031",NA,"up",0.114104760448152
"Q9Y259","CHKB","up",0.114104760448152
"P05452","Tetranectin","up",0.114036004513248
"P0DMV8.10",NA,"down",0.113868143972871
"P46777","RL5","down",0.113845344413411
"Q9NP81","SYSM","up",0.113777201632607
"O60575","ISK4","down",0.113673936309166
"Q93015","NAT6","down",0.113673936309166
"Q53H82","LACB2","down",0.113673936309166
"Q6P3X3","TTC27","down",0.113673936309166
"P60033","CD81","up",0.113673936309166
"P19320","VCAM-1","up",0.113673936309166
"Q96MF4","CC140","down",0.113239204223591
"Q8N8F7","CG053","down",0.11321589465313
"A6NMZ2","SNTAN","down",0.113115462769622
"Q7Z7M8","B3GN8","up",0.113074852639391
